CUIT,GLN,RAZON_SOCIAL,PAGE,PAGE_POS
30500846301,7790440000007,ABBOTT LABORATORIES ARGENTINA S.A.,0,0
30712399623,7798258120009,ABBVIE SA,0,1
20139553854,9990440430004,ABELLO ARGENTINA S.A.C.I.,0,2
30680235135,9990377780005,ADOX S.A.,0,3
30516987886,7792277000007,AEROFARMA LABORATORIOS SAIC,0,4
33700499419,9990377790004,AHIMSA S.A.,0,5
30500852131,7798239160017,AIR LIQUIDE ARGENTINA S A,0,6
30516842667,7792086000007,ALCON LABORATORIOS ARGENTINA S A,0,7
30700988682,7798168990006,ALEF MEDICAL ARGENTINA S.A.,0,8
30651772377,9990436190004,ALERGO PHARMA SRL,0,9
30505142256,9990493660007,ALET LABORATORIOS S.A.I.C.I. Y E.,1,0
33503888799,7795316000006,ALLERGAN PRODUCTOS FARMACEUTICOS S.A.,1,1
30685919776,7798193460000,AMARIN TECHNOLOGIES S.A.,1,2
30715588648,7798337900010,AMGEN BIOTECNOLOGIA DE ARGENTINA SRL,1,3
30708028610,9990381580004,ANDINA REAL DE ARGENTINA SCS,1,4
30618752271,9990377390006,ANDROQUIMICA S.A.,1,5
30607441401,7798162800004,ARCANO S.A.,1,6
30617835602,7792219000003,ASOFARMA SOC ANONIMA INDUSTRIAL Y COMERCIAL,1,7
33714198969,7798333230005,ASPEN ARGENTINA S.A.,1,8
30641873523,9990475940004,ASSISTANCE S.R.L.,1,9
30500772324,7795302000003,ASTRAZENECA SOCIEDAD ANONIMA,2,0
33703936429,7798097890002,ATLAS FARMACEUTICA S A,2,1
30627294480,7796035000001,AVC FARMA S.A.,2,2
30602507005,9990381000007,AWER SA,2,3
30690747878,7798166530006,B BRAUN MEDICAL S A,2,4
30521092501,7795338000008,BALIARDA SOCIEDAD ANONIMA,2,5
23929136624,9990440630008,BARNES HIND. FARMACEUTICA S.A.,2,6
30701777308,7798069050007,BAUSCH & LOMB ARGENTINA S R L,2,7
30539203599,7797545000000,BAXTER ARGENTINA SOCIEDAD ANONIMA,2,8
30503811061,7795320000009,BAYER SOCIEDAD ANONIMA,2,9
30616253650,9990377600006,BEIERSDORF S.A.,3,0
30503704850,9990385190001,BENITOL SACI,3,1
33617960279,9990474640004,BILLIET Y CIA. S.R.L.,3,2
30714454702,9990551910006,BINA PHARMA S.A.,3,3
30647382777,7798074990008,BIO CONTROL SA,3,4
30714391859,9990475740000,BIOCINE,3,5
30550853791,9990460430008,BIOCROM S.A.,3,6
30707256849,7798087800004,BIOFACTOR S.A.,3,7
30709724912,7798144380005,BIOGEN (ARGENTINA) S R L,3,8
30711915369,9990432490009,BIOMEC S.R.L.,3,9
30711364842,7798260150001,BIOPAS ARGENTINA S.A.,4,0
30707498338,9990440300000,BIOPHARM S.A.,4,1
30649364040,7798021440006,BIOPROFARMA BAGO SA,4,2
30598117094,7795355000005,BIOSIDUS SOCIEDAD ANONIMA,4,3
30708412038,7794207000002,BIOSINTEX S.A.,4,4
30709594512,7798163340011,BIOTECHNO PHARMA SA,4,5
30611306632,7796363000001,BIOTENK S A,4,6
30622531034,7798011830008,BIOTOSCANA FARMA S.A.,4,7
30559823666,7798025840000,BLIPACK SA,4,8
30535621159,7795304000001,BOEHRINGER INGELHEIM S A,4,9
30711366306,7798324660019,BRIA PHARMA SA,5,0
30538058056,7795305000000,BRISTOL MYERS SQUIBB ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA,5,1
30715303775,9990551400002,BRIXEN LABS S.A.,5,2
30657105607,9990377610005,BROBEL SRL,5,3
30708969245,9990475680009,CACHAMAI S.A.C.I.F. E I.,5,4
30708284250,7798122690003,CAIF COMPANIA ARGENTINA DE INVESTIGACIONES FARMACEUTICAS S.A.,5,5
30538058749,7795339000007,CASA RUBIO S A,5,6
30534582761,7791845000005,CATALENT ARGENTINA S.A.I.C.,5,7
30712004130,7798311370006,CELNOVA ARGENTINA SA,5,8
30695455220,9990399500001,CENTRO DE MEZCLAS INTRAVENOSAS S.A.,5,9
30699645059,7798066760008,CEVALLOS SALUD S.R.L.,6,0
30702946626,7798075400001,CINETIC LABORATORIES ARGENTINA S.A.,6,1
30540437455,9990440500004,CLARK Y CIA.,6,2
30615004843,9990433390001,CLEITON S.R.L.,6,3
30711185662,9990440450002,CLIMAX ARGENTINA S.R.L.,6,4
30700976501,9990377630003,COMBE ARGENTINA SRL,6,5
30546660210,9990401380003,COMISION NACIONAL DE ENERGIA ATOMICA,6,6
30683701382,7798087280004,CONIFARMA CONSORCIO DE INTEG FARM S.A.,6,7
30503517767,7792234000002,CRAVERI S A I C,6,8
33707668089,7798098720001,CSL BEHRING S A,6,9
30711161461,7798197470005,DAXLEY ARGENTINA S.A.,7,0
30607462905,9990440470000,DEFUEN S.A.,7,1
33629282659,7798050060008,DENVER FARMA S A,7,2
30707157182,9990475760008,DESMARK SRL,7,3
