"N° Certificado","Laboratorio","Nombre Comercial","Forma Farmacéutica","Presentación","Precio Venta al Público","Genérico","Detalle"," (uso exclusivamente hospitalario - muestra médica - no venta al público)"," (muestra médica - no venta al público)"," (uso exclusivamente hospitalario - muestra médica)"," (uso exclusivamente hospitalario - no venta al público)"," (uso exclusivamente hospitalario)"," (muestra médica)"," (no venta al público)","GTIN","Genérico[IFA,Cantidad,Unidad]"
"34765","ABBOTT LABORATORIES ARGENTINA S.A.","COFRON JARABE","JARABE","1 FRASCO por 100 ML ","$86.30","","","","","","","","07790440470923","CLOFEDIANOL 250 MG / 100 ML + BROMHEXINA 40 MG / 100 ML ","[['CLOFEDIANOL', '250', 'MG / 100 ML'], ['BROMHEXINA', '40', 'MG / 100 ML']]"
"34765","ABBOTT LABORATORIES ARGENTINA S.A.","COFRON JARABE PEDIATRICO","JARABE","1 FRASCO por 100 ML ","$86.30","","","","","","","","07790440471029","CLOFEDIANOL 140 MG / 100 ML + BROMHEXINA 20 MG / 100 ML ","[['CLOFEDIANOL', '140', 'MG / 100 ML'], ['BROMHEXINA', '20', 'MG / 100 ML']]"
"38778","ABBOTT LABORATORIES ARGENTINA S.A.","KLARICID U.D","COMPRIMIDO DE LIBERACION CONTROLADA","1 BLISTER por 5 UNIDADES ","$129.73","","","","","","","","07790440429952","CLARITROMICINA 500 MG/COMPRIMIDO ","[['CLARITROMICINA', '500', 'MG/COMPRIMIDO']]"
"35746","ABBOTT LABORATORIES ARGENTINA S.A.","DEPAKENE","JARABE","1 FRASCO por 120 ML ","$130.29","","","","","","","","07790440568217","ACIDO VALPROICO 5 G / 100 ML ","[['ACIDO VALPROICO', '5', 'G / 100 ML']]"
"34765","ABBOTT LABORATORIES ARGENTINA S.A.","COFRON JARABE PEDIATRICO","JARABE","1 FRASCO por 180 ML ","$133.75","","","","","","","","07790440471036","CLOFEDIANOL 140 MG / 100 ML + BROMHEXINA 20 MG / 100 ML ","[['CLOFEDIANOL', '140', 'MG / 100 ML'], ['BROMHEXINA', '20', 'MG / 100 ML']]"
"19134","ABBOTT LABORATORIES ARGENTINA S.A.","DAYAMINERAL","COMPRIMIDO FILMTAB","1 FRASCO por 30 UNIDADES ","$143.22","","","","","","","","07790440668306","VITAMINA D 1000 UI + MOLIBDENO 0.45 MG + VITAMINA B12 5 MCG + ACIDO FOLICO 0.25 MG + RIBOFLAVINA 10 ...","[['VITAMINA D', '1000', 'UI'], ['MOLIBDENO', '0.45', 'MG'], ['VITAMINA B12', '5', 'MCG'], ['ACIDO FOLICO', '0.25', 'MG'], ['RIBOFLAVINA', '10', 'MG'], ['PIRIDOXINA', '1.5', 'MG'], ['NICOTINAMIDA', '35', 'MG'], ['PANTOTENATO DE CALCIO', '5', 'MG'], ['ACIDO ASCORBICO', '150', 'MG'], ['POTASIO SULFATO', '11', 'MG'], ['SULFATO DE COBRE PENTAHIDRATO', '2.8', 'MG'], ['TIAMINA MONONITRATO', '10', 'MG'], ['VITAMINA A (COMO ACETATO)', '5000', 'UI'], ['SULFATO FERROSO HEPTAHIDRATADO', '34', 'MG'], ['FOSFATO BIBASICO DE CALCIO ANHIDRO', '339.45', 'MG'], ['IODATO DE CALCIO HEXAHIDRATADO', '0.201', 'MG'], ['SULFATO DE COBALTO HEPTAHIDRATADO', '0.49', 'MG'], ['SULFATO DE MANGANESO MONOHIDRATADO', '3', 'MG'], ['SULFATO DE MAGNESIO HEPTAHIDRATADO', '40', 'MG'], ['SULFATO DE ZINC HEPTAHIDRATADO', '3.9', 'MG']]"
"34765","ABBOTT LABORATORIES ARGENTINA S.A.","COFRON JARABE","JARABE","1 FRASCO por 180 ML ","$144.45","","","","","","","","07790440470930","CLOFEDIANOL 250 MG / 100 ML + BROMHEXINA 40 MG / 100 ML ","[['CLOFEDIANOL', '250', 'MG / 100 ML'], ['BROMHEXINA', '40', 'MG / 100 ML']]"
"31804","ABBOTT LABORATORIES ARGENTINA S.A.","ISOPTINO 80 MG","COMPRIMIDO RECUBIERTO"," ENVASE por 30 UNIDADES ","$148.84","","","","","","","","07790440504215","VERAPAMILO CLORHIDRATO 80 MG ","[['VERAPAMILO CLORHIDRATO', '80', 'MG']]"
"45021","ABBOTT LABORATORIES ARGENTINA S.A.","BETASERC 8 MG","COMPRIMIDO"," BLISTER por 30 UNIDADES ","$152.14","","","","","","","","07790440508718","BETAHISTINA DICLORHIDRATO 8 MG ","[['BETAHISTINA DICLORHIDRATO', '8', 'MG']]"
"39745","ABBOTT LABORATORIES ARGENTINA S.A.","KLARICID SUSPENSION PEDIATRICA","GRANULADO PARA SUSPENSIÓN ORAL","1 FRASCO por 60 ML ","$184.32","","","","","","","","07790440781425","CLARITROMICINA 125 MG/5 ML ","[['CLARITROMICINA', '125', 'MG/5 ML']]"
