N° Certificado|Laboratorio|Nombre Comercial|Forma Farmacéutica|Presentación|Precio Venta al Público| (uso exclusivamente hospitalario - muestra médica - no venta al público)| (muestra médica - no venta al público)| (uso exclusivamente hospitalario - muestra médica)| (uso exclusivamente hospitalario - no venta al público)| (uso exclusivamente hospitalario)| (muestra médica)| (no venta al público)|GTIN|Genérico|Genérico[IFA,Cantidad,Unidad]
34765|ABBOTT LABORATORIES ARGENTINA S.A.|COFRON JARABE|JARABE|1 FRASCO por 100 ML |$86.30|0|0|0|0|0|0|0|07790440470923|CLOFEDIANOL 250 MG / 100 ML + BROMHEXINA 40 MG / 100 ML |[['CLOFEDIANOL', '250', 'MG / 100 ML'], ['BROMHEXINA', '40', 'MG / 100 ML']]
34765|ABBOTT LABORATORIES ARGENTINA S.A.|COFRON JARABE PEDIATRICO|JARABE|1 FRASCO por 100 ML |$86.30|0|0|0|0|0|0|0|07790440471029|CLOFEDIANOL 140 MG / 100 ML + BROMHEXINA 20 MG / 100 ML |[['CLOFEDIANOL', '140', 'MG / 100 ML'], ['BROMHEXINA', '20', 'MG / 100 ML']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID U.D|COMPRIMIDO DE LIBERACION CONTROLADA|1 BLISTER por 5 UNIDADES |$129.73|0|0|0|0|0|0|0|07790440429952|CLARITROMICINA 500 MG/COMPRIMIDO |[['CLARITROMICINA', '500', 'MG/COMPRIMIDO']]
35746|ABBOTT LABORATORIES ARGENTINA S.A.|DEPAKENE|JARABE|1 FRASCO por 120 ML |$130.29|0|0|0|0|0|0|0|07790440568217|ACIDO VALPROICO 5 G / 100 ML |[['ACIDO VALPROICO', '5', 'G / 100 ML']]
19134|ABBOTT LABORATORIES ARGENTINA S.A.|DAYAMINERAL|COMPRIMIDO FILMTAB|1 FRASCO por 30 UNIDADES |$143.22|0|0|0|0|0|0|0|07790440668306|VITAMINA D 1000 UI + MOLIBDENO 0.45 MG + VITAMINA B12 5 MCG + ACIDO FOLICO 0.25 MG + RIBOFLAVINA 10 ...|[['VITAMINA D', '1000', 'UI'], ['MOLIBDENO', '0.45', 'MG'], ['VITAMINA B12', '5', 'MCG'], ['ACIDO FOLICO', '0.25', 'MG'], ['RIBOFLAVINA', '10', 'MG'], ['PIRIDOXINA', '1.5', 'MG'], ['NICOTINAMIDA', '35', 'MG'], ['PANTOTENATO DE CALCIO', '5', 'MG'], ['ACIDO ASCORBICO', '150', 'MG'], ['POTASIO SULFATO', '11', 'MG'], ['SULFATO DE COBRE PENTAHIDRATO', '2.8', 'MG'], ['TIAMINA MONONITRATO', '10', 'MG'], ['VITAMINA A (COMO ACETATO)', '5000', 'UI'], ['SULFATO FERROSO HEPTAHIDRATADO', '34', 'MG'], ['FOSFATO BIBASICO DE CALCIO ANHIDRO', '339.45', 'MG'], ['IODATO DE CALCIO HEXAHIDRATADO', '0.201', 'MG'], ['SULFATO DE COBALTO HEPTAHIDRATADO', '0.49', 'MG'], ['SULFATO DE MANGANESO MONOHIDRATADO', '3', 'MG'], ['SULFATO DE MAGNESIO HEPTAHIDRATADO', '40', 'MG'], ['SULFATO DE ZINC HEPTAHIDRATADO', '3.9', 'MG']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO 80 MG|COMPRIMIDO RECUBIERTO| ENVASE por 30 UNIDADES |$148.84|0|0|0|0|0|0|0|07790440504215|VERAPAMILO CLORHIDRATO 80 MG |[['VERAPAMILO CLORHIDRATO', '80', 'MG']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 8 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$152.14|0|0|0|0|0|0|0|07790440508718|BETAHISTINA DICLORHIDRATO 8 MG |[['BETAHISTINA DICLORHIDRATO', '8', 'MG']]
39745|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID SUSPENSION PEDIATRICA|GRANULADO PARA SUSPENSIÓN ORAL|1 FRASCO por 60 ML |$184.32|0|0|0|0|0|0|0|07790440781425|CLARITROMICINA 125 MG/5 ML |[['CLARITROMICINA', '125', 'MG/5 ML']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 16 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$201.85|0|0|0|0|0|0|0|07790440508510|BETAHISTINA DICLORHIDRATO 16 MG |[['BETAHISTINA DICLORHIDRATO', '16', 'MG']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID U.D|COMPRIMIDO DE LIBERACION CONTROLADA|1 BLISTER por 8 UNIDADES |$207.55|0|0|0|0|0|0|0|07790440429921|CLARITROMICINA 500 MG/COMPRIMIDO |[['CLARITROMICINA', '500', 'MG/COMPRIMIDO']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 15 G |$208.85|0|0|0|0|0|0|0|07790440512012|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID 500 MG|COMPRIMIDO| BLISTER por 8 UNIDADES |$215.08|0|0|0|0|0|0|0|07790440321416|CLARITROMICINA 500 MG |[['CLARITROMICINA', '500', 'MG']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN 150 MG|COMPRIMIDO RECUBIERTO| BLISTER por 20 UNIDADES |$226.07|0|0|0|0|0|0|0|07790440409619|PROPAFENONA 150 MG |[['PROPAFENONA', '150', 'MG']]
48481|ABBOTT LABORATORIES ARGENTINA S.A.|INFLUVAC|SUSPENSION INYECTABLE|1 JERINGA PRELLENADA por 0.5 ML |$232.29|0|0|0|0|0|0|0|08715554002760|Cepa Virus Influenza Tipo A: A/Brisbane/02/2018 (H1N1) pdm09 (cepa derivada usada: A/ Brisbane/02/20...|[['Cepa Virus Influenza Tipo A: A/Brisbane/02/2018 (H1N1) pdm09 (cepa derivada usada: A/ Brisbane/02/2018, IVR-190)', '15', 'MCG HEMAGLUTININA'], ['A/South Australia/34/2019 (H3N2) (cepa derivada usada: A/ South Australia/34/2019, IVR-197)', '15', 'MCG HEMAGLUTININA'], ['Cepas Virus Influenza Tipo B: B/Washington/02/2019 (cepa derivada usada: B/ Washington/02/2019, Wild Type)', '15', 'MCG HEMAGLUTININA']]
35746|ABBOTT LABORATORIES ARGENTINA S.A.|DEPAKENE|CAPSULA BLANDA|1 FRASCO por 50 UNIDADES |$234.94|0|0|0|0|0|0|0|07790440568118|ACIDO VALPROICO 250 MG |[['ACIDO VALPROICO', '250', 'MG']]
47166|ABBOTT LABORATORIES ARGENTINA S.A.|DUSPATALIN|CAPSULA DE LIBERACION PROLONGADA| BLISTER por 20 UNIDADES |$242.83|0|0|0|0|0|0|0|08002660011794|MEBEVERINA CLORHIDRATO 200 MG |[['MEBEVERINA CLORHIDRATO', '200', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 125 MG|COMPRIMIDO RECUBIERTO|1 FRASCO por 50 UNIDADES |$246.29|0|0|0|0|0|0|0|07790440621226|DIVALPROATO SODICO 134.55 MG |[['DIVALPROATO SODICO', '134.55', 'MG']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO RETARD|COMPRIMIDO RECUBIERTO DE LIBERACIÓN PROLONGADA| ENVASE por 20 UNIDADES |$266.53|0|0|0|0|0|0|0|07790440407813|VERAPAMILO CLORHIDRATO 120 MG |[['VERAPAMILO CLORHIDRATO', '120', 'MG']]
45021|ABBOTT LABORATORIES ARGENTINA S.A.|BETASERC 24 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$271.99|0|0|0|0|0|0|0|07790440508619|BETAHISTINA DICLORHIDRATO 24 MG |[['BETAHISTINA DICLORHIDRATO', '24', 'MG']]
55109|ABBOTT LABORATORIES ARGENTINA S.A.|DICETEL|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$320.52|0|0|0|0|0|0|0|08002660011800|BROMURO DE PINAVERIO 100 MG |[['BROMURO DE PINAVERIO', '100', 'MG']]
45679|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID FORTE|GRANULADO PARA SUSPENSIÓN ORAL|1 FRASCO por 60 ML |$327.42|0|0|0|0|0|0|0|07790440320716|CLARITROMICINA 250 MG |[['CLARITROMICINA', '250', 'MG']]
